epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.474,1.11532,2.99028,1.35517,0.00369,0.94579,0.40484,0.28166,0.82929,2.97339,1.27973,0.00032867,0.00032867,0.00032867
2,25.4295,1.24317,2.36255,1.45975,0.98717,0.11566,0.6592,0.35221,1.21788,2.70832,1.70018,0.000658332,0.000658332,0.000658332
3,35.3177,1.33735,2.2791,1.54555,0.39313,0.17882,0.27884,0.1422,1.54923,2.69968,1.97101,0.000974412,0.000974412,0.000974412
4,44.3606,1.27888,2.18688,1.52158,0.16966,0.26375,0.18672,0.08423,2.12552,2.96136,2.70931,0.00127691,0.00127691,0.00127691
5,53.0924,1.34494,2.07562,1.50681,0.25352,0.12488,0.14365,0.05787,2.19277,3.29481,2.70657,0.00131582,0.00131582,0.00131582
6,62.6849,1.37499,2.03135,1.5522,0.13799,0.38817,0.14062,0.06752,1.80465,3.41608,2.21231,0.00128753,0.00128753,0.00128753
7,72.2843,1.33414,1.90151,1.52733,0.47751,0.53856,0.47837,0.24014,1.71031,2.42857,2.10358,0.00125923,0.00125923,0.00125923
8,80.5308,1.31531,1.81539,1.48783,0.5003,0.52371,0.50233,0.23798,1.70892,2.56217,2.29477,0.00123094,0.00123094,0.00123094
9,89.9647,1.26932,1.70808,1.44146,0.27086,0.42297,0.35727,0.18451,1.71276,2.60468,2.2597,0.00120265,0.00120265,0.00120265
10,99.5301,1.26886,1.60425,1.40741,0.53333,0.3398,0.41546,0.24028,1.51523,3.00952,1.97861,0.00117435,0.00117435,0.00117435
11,107.806,1.31761,1.71504,1.48974,0.44225,0.58057,0.47308,0.27443,1.46578,2.36077,1.90856,0.00114606,0.00114606,0.00114606
12,119.173,1.20738,1.51022,1.39633,0.65374,0.60421,0.58301,0.34541,1.5001,2.00904,1.97327,0.00111776,0.00111776,0.00111776
13,128.704,1.23185,1.49503,1.42496,0.5517,0.46381,0.52072,0.30731,1.39233,2.25363,1.8287,0.00108947,0.00108947,0.00108947
14,137.91,1.23819,1.51662,1.43981,0.59464,0.64269,0.6701,0.3515,1.73683,1.84221,2.05987,0.00106118,0.00106118,0.00106118
15,146.368,1.22086,1.44466,1.43437,0.63288,0.43964,0.4791,0.26182,1.5477,2.34998,1.82509,0.00103288,0.00103288,0.00103288
16,155.732,1.2247,1.46358,1.44964,0.68969,0.55804,0.62661,0.38304,1.46842,1.85651,1.73295,0.00100459,0.00100459,0.00100459
17,165.43,1.23669,1.44689,1.42045,0.52188,0.43491,0.4425,0.26679,1.40715,2.19844,1.82952,0.000976293,0.000976293,0.000976293
18,173.728,1.18117,1.38663,1.38562,0.70142,0.46322,0.57454,0.32058,1.46916,2.03327,1.83264,0.000947999,0.000947999,0.000947999
19,183.307,1.13164,1.30482,1.35367,0.60545,0.44866,0.45891,0.24527,1.60945,2.24565,2.06409,0.000919704,0.000919704,0.000919704
20,192.617,1.1115,1.23057,1.33219,0.79461,0.54649,0.67738,0.38203,1.54316,1.60474,1.82481,0.00089141,0.00089141,0.00089141
21,200.967,1.07286,1.20128,1.34106,0.71498,0.68152,0.74882,0.47537,1.34118,1.22185,1.60742,0.000863116,0.000863116,0.000863116
22,210.279,1.07743,1.20483,1.31983,0.78947,0.60359,0.73949,0.47551,1.29096,1.47312,1.66132,0.000834822,0.000834822,0.000834822
23,219.833,1.1094,1.18222,1.36612,0.84843,0.52623,0.57747,0.35635,1.36267,1.76126,1.86134,0.000806528,0.000806528,0.000806528
24,228.009,1.09002,1.10534,1.31501,0.76886,0.63099,0.6955,0.42753,1.45321,1.58169,1.72589,0.000778233,0.000778233,0.000778233
25,237.404,1.05638,1.12373,1.29555,0.67501,0.59694,0.64161,0.41557,1.34229,1.4152,1.77584,0.000749939,0.000749939,0.000749939
26,246.843,1.04122,1.07396,1.30537,0.77809,0.69065,0.7582,0.50984,1.31169,1.20299,1.68123,0.000721645,0.000721645,0.000721645
27,255.196,1.03779,1.01587,1.29925,0.81272,0.6978,0.7637,0.51821,1.22899,1.19237,1.62218,0.000693351,0.000693351,0.000693351
28,264.893,0.98231,0.96563,1.24937,0.7478,0.69465,0.76883,0.4973,1.28502,1.30088,1.56099,0.000665057,0.000665057,0.000665057
29,274.377,1.02577,1.02151,1.25184,0.81379,0.70389,0.73552,0.47898,1.31999,1.39388,1.66967,0.000636762,0.000636762,0.000636762
30,283.695,1.02053,0.9954,1.24551,0.92229,0.68291,0.8087,0.51751,1.22398,1.28665,1.60746,0.000608468,0.000608468,0.000608468
31,292.092,0.98103,0.96577,1.24582,0.71762,0.68225,0.74099,0.45497,1.27732,1.45339,1.6697,0.000580174,0.000580174,0.000580174
32,301.659,0.95422,0.91795,1.21451,0.76239,0.61619,0.76035,0.52323,1.16328,1.31249,1.51048,0.00055188,0.00055188,0.00055188
33,311.264,0.93408,0.9492,1.2266,0.77461,0.72868,0.78382,0.51268,1.22816,1.187,1.55292,0.000523586,0.000523586,0.000523586
34,319.419,0.93289,0.89433,1.19236,0.76176,0.56626,0.69638,0.46698,1.19035,1.398,1.57139,0.000495291,0.000495291,0.000495291
35,328.906,0.90231,0.87392,1.20721,0.87769,0.62335,0.77783,0.55246,1.1534,1.27051,1.53283,0.000466997,0.000466997,0.000466997
36,338.422,0.89494,0.86452,1.19717,0.84123,0.57078,0.68056,0.44988,1.19689,1.46423,1.60691,0.000438703,0.000438703,0.000438703
37,346.673,0.9013,0.86005,1.19024,0.77509,0.76011,0.79999,0.5451,1.14715,1.09701,1.50732,0.000410409,0.000410409,0.000410409
38,356.256,0.92418,0.83617,1.21982,0.76181,0.78085,0.80495,0.57019,1.14282,1.05309,1.47031,0.000382115,0.000382115,0.000382115
39,365.739,0.87564,0.8296,1.20661,0.81349,0.72475,0.78152,0.55887,1.17806,1.08803,1.51264,0.00035382,0.00035382,0.00035382
40,373.894,0.86928,0.83999,1.19321,0.84645,0.70291,0.76154,0.53648,1.13196,1.1633,1.49559,0.000325526,0.000325526,0.000325526
41,384.955,0.75006,0.83193,1.11461,0.85704,0.70509,0.77778,0.54525,1.15355,1.19361,1.54301,0.000297232,0.000297232,0.000297232
42,394.517,0.7157,0.69044,1.10063,0.87168,0.65135,0.74929,0.51422,1.2025,1.26676,1.59253,0.000268938,0.000268938,0.000268938
43,404.824,0.69598,0.64709,1.08796,0.71286,0.71119,0.75577,0.49933,1.16798,1.30603,1.5662,0.000240644,0.000240644,0.000240644
44,413.347,0.67474,0.61107,1.08594,0.84657,0.71662,0.7804,0.55427,1.15847,1.11451,1.51951,0.000212349,0.000212349,0.000212349
45,422.472,0.6631,0.58554,1.06572,0.76225,0.78006,0.80311,0.56596,1.09865,1.12965,1.45376,0.000184055,0.000184055,0.000184055
